loc_rowid,pl_name,hostname,default_flag,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_eqt,sy_dist
1,11 Com b,11 Com,1,0,Radial Velocity,2007,Xinglong Station,323.21,,,,93.1846
2,11 Com b,11 Com,0,0,Radial Velocity,2007,Xinglong Station,,,,,93.1846
3,11 Com b,11 Com,0,0,Radial Velocity,2007,Xinglong Station,326.03,,,,93.1846
4,11 UMi b,11 UMi,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,,,,125.321
5,11 UMi b,11 UMi,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,,,,125.321
6,11 UMi b,11 UMi,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,,,,125.321
7,14 And b,14 And,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,,,,75.4392
8,14 And b,14 And,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,,,,75.4392
9,14 And b,14 And,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,,,,,75.4392
10,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1773.4,,,,17.9323
11,14 Her b,14 Her,1,0,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,,2559.472162,,17.9323
12,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1796.4,,,,17.9323
13,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,,,,,17.9323
14,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,,,,17.9323
15,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1766,,,,17.9323
16,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1766.41,,,,17.9323
17,14 Her b,14 Her,0,0,Radial Velocity,2002,W. M. Keck Observatory,1724,,,,17.9323
18,16 Cyg B b,16 Cyg B,0,0,Radial Velocity,1996,Multiple Observatories,799.5,,,,21.1397
19,16 Cyg B b,16 Cyg B,0,0,Radial Velocity,1996,Multiple Observatories,799.5,,,,21.1397
20,16 Cyg B b,16 Cyg B,0,0,Radial Velocity,1996,Multiple Observatories,799.45,,,,21.1397
